,TIC,period,morph,RA,DEC
430,291320884,0.3717522,0.57,260.956041,-57.411113
431,349484636,0.3719685,0.756,111.278573,-60.00174
432,162173122,0.3721521,0.744,331.026647,34.551477
433,232524483,0.372987,1.008,193.475474,77.203689
434,461662516,0.3732551,0.792,124.363885,51.863039
435,286338346,0.3732684,0.763,260.384889,29.862518
436,158673914,0.3733744,0.751,165.079481,-40.788976
437,141766191,0.3735113,1.002,91.680533,-72.215101
438,390632932,0.3737141,0.957,191.256601,7.951406
439,53842685,0.3738842,0.961,327.646562,-27.809855
440,160150808,0.3740459,0.594,222.331169,-38.17177
441,188594653,0.3741055,0.765,345.504093,-13.095749
442,117378874,0.3745944,0.668,131.948806,29.831168
443,318868129,0.3751679,0.795,41.538665,0.285597
444,420137341,0.3758511,0.883,291.667274,73.578527
445,82224114,0.3761241,0.781,150.934449,28.232394
446,229082842,0.3762035,0.692,68.900654,-0.874105
447,428534573,0.3765313,0.877,56.255218,49.616633
448,89428764,0.3766095,0.841,323.038979,-34.714272
449,459971813,0.376723,0.862,75.139587,4.440283
450,33742828,0.3769712,0.398,93.223135,-17.204182
451,167890109,0.3769767,0.709,105.282003,-64.700241
452,257002707,0.3770863,1.023,223.932513,76.306582
453,148081648,0.3770891,0.403,229.452997,-37.115551
454,396934949,0.3774342,0.757,63.474529,3.317157
455,322055767,0.3775009,0.769,323.881796,67.8073
456,148081650,0.3775014,0.577,229.454752,-37.115236
457,365070861,0.3776547,0.977,202.236313,2.230822
458,365034219,0.3777057,0.907,311.293273,48.086724
459,38589392,0.3777198,0.715,56.762269,-7.070317
460,335720078,0.3779939,0.908,223.037725,64.634003
461,121460104,0.3783745,0.742,288.019841,40.127054
462,184089083,0.3784421,0.784,295.578981,39.698112
463,24733359,0.3785419,0.903,141.909969,-35.007376
464,141179506,0.3791582,0.958,180.388112,43.041649
465,333620087,0.3793248,0.813,100.544821,-15.720819
466,330753460,0.3794957,0.689,144.130685,28.339802
467,147611197,0.3795969,0.979,148.934849,66.243864
468,336931938,0.379872,0.788,214.969251,-63.803162
469,340782794,0.3799152,0.75,19.158627,-39.708704
470,387463207,0.3799213,0.76,42.467877,8.938122
471,418532689,0.3803666,0.62,206.476602,-78.807215
473,174157888,0.3804571,0.77,351.777856,45.556116
